id_siniestro;fecha_siniestro;anio_siniestro;modo_desplazamiento_victima;sexo_victima;edad_victima;GRAVEdad_victima;rol_victima;fecha_fallecimiento_victima
LC-2019-0022650;2019-01-11;2019;BICICLETA;F;25;GRAVE;CICLISTA;
LC-2019-0068291;2019-02-01;2019;BICICLETA;F;16;GRAVE;CICLISTA;
LC-2019-0139186;2019-03-06;2019;BICICLETA;F;32;GRAVE;CICLISTA;
LC-2019-0247839;2019-04-21;2019;BICICLETA;F;35;GRAVE;CICLISTA;
LC-2019-0283677;2019-05-07;2019;BICICLETA;F;42;GRAVE;CICLISTA;
LC-2019-0299871;2019-05-14;2019;BICICLETA;F;47;GRAVE;CICLISTA;
HC-2019-0316148;2019-05-21;2019;BICICLETA;F;SD;MORTAL;CICLISTA;2019-5-21
LC-2019-0332408;2019-05-28;2019;BICICLETA;F;44;GRAVE;CICLISTA;
LC-2019-0395977;2019-06-26;2019;BICICLETA;F;38;GRAVE;CICLISTA;
LC-2019-0433224;2019-07-13;2019;BICICLETA;F;47;GRAVE;CICLISTA;
LC-2019-0464558;2019-07-27;2019;BICICLETA;F;33;GRAVE;CICLISTA;
LC-2019-0557329;2019-09-05;2019;BICICLETA;F;SD;GRAVE;CICLISTA;
LC-2019-0557329;2019-09-05;2019;BICICLETA;F;SD;GRAVE;CICLISTA;
LC-2019-0585242;2019-09-16;2019;BICICLETA;F;37;GRAVE;CICLISTA;
HC-2019-0607122;2019-09-27;2019;BICICLETA;F;40;MORTAL;CICLISTA;2019-9-27
LC-2019-0766187;2019-12-03;2019;BICICLETA;F;31;GRAVE;CICLISTA;
LC-2020-0003360;2020-01-02;2020;BICICLETA;F;SD;LEVE;CICLISTA;
LC-2020-0004991;2020-01-03;2020;BICICLETA;F;28;LEVE;CICLISTA;
LC-2020-0006530;2020-01-04;2020;BICICLETA;F;44;LEVE;CICLISTA;
LC-2020-0014353;2020-01-07;2020;BICICLETA;F;36;LEVE;CICLISTA;
LC-2020-0015351;2020-01-08;2020;BICICLETA;F;26;LEVE;CICLISTA;
LC-2020-0016458;2020-01-08;2020;BICICLETA;F;72;LEVE;CICLISTA;
LC-2020-0021881;2020-01-10;2020;BICICLETA;F;28;LEVE;CICLISTA;
LC-2020-0021828;2020-01-10;2020;BICICLETA;F;30;LEVE;CICLISTA;
LC-2020-0027260;2020-01-13;2020;BICICLETA;F;SD;LEVE;CICLISTA;
LC-2020-0036958;2020-01-17;2020;BICICLETA;F;32;LEVE;CICLISTA;
LC-2020-0040501;2020-01-20;2020;BICICLETA;F;25;LEVE;CICLISTA;
LC-2020-0044261;2020-01-21;2020;BICICLETA;F;28;LEVE;CICLISTA;
LC-2020-0052154;2020-01-24;2020;BICICLETA;F;26;LEVE;CICLISTA;
LC-2020-0049943;2020-01-24;2020;BICICLETA;F;44;LEVE;CICLISTA;
LC-2020-0057129;2020-01-27;2020;BICICLETA;F;31;LEVE;CICLISTA;
LC-2020-0056047;2020-01-27;2020;BICICLETA;F;40;LEVE;CICLISTA;
LC-2020-0058549;2020-01-28;2020;BICICLETA;F;28;LEVE;CICLISTA;
LC-2020-0059474;2020-01-28;2020;BICICLETA;F;29;LEVE;CICLISTA;
LC-2020-0068444;2020-02-01;2020;BICICLETA;F;27;LEVE;CICLISTA;
LC-2020-0070202;2020-02-02;2020;BICICLETA;F;SD;LEVE;CICLISTA;
LC-2020-0083974;2020-02-08;2020;BICICLETA;F;27;LEVE;CICLISTA;
LC-2020-0090656;2020-02-11;2020;BICICLETA;F;40;LEVE;CICLISTA;
LC-2020-0090691;2020-02-11;2020;BICICLETA;F;42;LEVE;CICLISTA;
LC-2020-0091137;2020-02-12;2020;BICICLETA;F;20;LEVE;CICLISTA;
LC-2020-0093173;2020-02-12;2020;BICICLETA;F;26;LEVE;CICLISTA;
LC-2020-0100319;2020-02-15;2020;BICICLETA;F;28;LEVE;CICLISTA;
LC-2020-0101598;2020-02-16;2020;BICICLETA;F;SD;LEVE;CICLISTA;
LC-2020-0107729;2020-02-18;2020;BICICLETA;F;37;LEVE;CICLISTA;
LC-2020-0111765;2020-02-20;2020;BICICLETA;F;22;LEVE;CICLISTA;
LC-2020-0112330;2020-02-20;2020;BICICLETA;F;28;LEVE;CICLISTA;
LC-2020-0112736;2020-02-20;2020;BICICLETA;F;54;LEVE;CICLISTA;
LC-2020-0117143;2020-02-22;2020;BICICLETA;F;54;LEVE;CICLISTA;
LC-2020-0122704;2020-02-26;2020;BICICLETA;F;74;LEVE;CICLISTA;
LC-2020-0125686;2020-02-27;2020;BICICLETA;F;24;LEVE;CICLISTA;
LC-2020-0127069;2020-02-27;2020;BICICLETA;F;27;LEVE;CICLISTA;
LC-2020-0127087;2020-02-27;2020;BICICLETA;F;40;LEVE;CICLISTA;
LC-2020-0130931;2020-02-29;2020;BICICLETA;F;40;LEVE;CICLISTA;
LC-2020-0132443;2020-03-01;2020;BICICLETA;F;63;LEVE;CICLISTA;
LC-2020-0134997;2020-03-02;2020;BICICLETA;F;26;LEVE;CICLISTA;
LC-2020-0135603;2020-03-02;2020;BICICLETA;F;31;LEVE;CICLISTA;
LC-2020-0133911;2020-03-02;2020;BICICLETA;F;38;LEVE;CICLISTA;
LC-2020-0137396;2020-03-03;2020;BICICLETA;F;22;LEVE;CICLISTA;
LC-2020-0138351;2020-03-03;2020;BICICLETA;F;31;LEVE;CICLISTA;
LC-2020-0140067;2020-03-04;2020;BICICLETA;F;24;LEVE;CICLISTA;
LC-2020-0142597;2020-03-05;2020;BICICLETA;F;60;LEVE;CICLISTA;
LC-2020-0148537;2020-03-07;2020;BICICLETA;F;37;LEVE;CICLISTA;
LC-2020-0149573;2020-03-08;2020;BICICLETA;F;27;LEVE;CICLISTA;
LC-2020-0152993;2020-03-09;2020;BICICLETA;F;SD;LEVE;CICLISTA;
LC-2020-0154677;2020-03-10;2020;BICICLETA;F;43;LEVE;CICLISTA;
LC-2020-0160262;2020-03-12;2020;BICICLETA;F;38;LEVE;CICLISTA;
LC-2020-0161786;2020-03-13;2020;BICICLETA;F;26;LEVE;CICLISTA;
LC-2020-0165454;2020-03-14;2020;BICICLETA;F;34;LEVE;CICLISTA;
LC-2020-0184129;2020-03-30;2020;BICICLETA;F;37;LEVE;CICLISTA;
LC-2020-0202779;2020-04-18;2020;BICICLETA;F;51;LEVE;CICLISTA;
